,Film,Year,Award,Nomination
1,Everything Everywhere All at Once,2022,7,11
2,All Quiet on the Western Front,2022,4,9
3,The Whale,2022,2,3
4,Top Gun: Maverick,2022,1,6
5,Black Panther: Wakanda Forever,2022,1,5
6,Avatar: The Way of Water,2022,1,4
7,Women Talking,2022,1,2
8,Guillermo del Toro's Pinocchio,2022,1,1
9,Navalny,2022,1,1
10,The Elephant Whisperers,2022,1,1
11,An Irish Goodbye,2022,1,1
12,"The Boy, the Mole, the Fox and the Horse",2022,1,1
13,RRR,2022,1,1
14,CODA,2021,3,3
15,Dune,2021,6,10
16,The Eyes of Tammy Faye,2021,2,2
17,No Time to Die,2021,1,3
18,The Windshield Wiper,2021,1,1
19,The Long Goodbye,2021,1,1
20,The Queen of Basketball,2021,1,1
21,Summer of Soul,2021,1,1
22,Drive My Car,2021,1,4
23,Encanto,2021,1,3
24,West Side Story,2021,1,7
25,Belfast,2021,1,7
26,The Power of the Dog,2021,1,12
27,King Richard,2021,1,6
28,Cruella,2021,1,2
29,Nomadland,2021,3,6
30,The Father,2021,2,6
31,Judas and the Black Messiah,2021,2,6
32,Minari,2021,1,6
33,Mank,2021,2,10
34,Sound of Metal,2021,2,6
35,Ma Rainey's Black Bottom,2021,2,5
36,Promising Young Woman,2021,1,5
37,Tenet,2021,1,2
38,Soul,2021,2,3
39,Another Round,2021,1,2
40,My Octopus Teacher,2021,1,1
41,Colette,2021,1,1
42,If Anything Happens I Love You,2021,1,1
43,Two Distant Strangers,2021,1,1
44,Parasite,2019,4,6
45,Ford v Ferrari,2019,2,4
46,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
47,The Neighbors' Window,2019,1,1
48,Little Women,2019,1,6
49,Marriage Story,2019,1,6
50,Jojo Rabbit,2019,1,6
51,Toy Story 4,2019,1,2
52,Joker,2019,2,11
53,Once Upon a Time in Hollywood,2019,2,10
54,1917,2019,3,10
55,Judy,2019,1,2
56,Bombshell,2019,1,3
57,Rocketman,2019,1,1
58,American Factory,2019,1,1
59,Hair Love,2019,1,1
60,Green Book,2018,3,5
61,Bohemian Rhapsody,2018,4,5
62,Roma,2018,3,10
63,Black Panther,2018,3,7
64,The Favourite,2018,1,10
65,A Star Is Born,2018,1,8
66,Vice,2018,1,8
67,BlacKkKlansman,2018,1,6
68,First Man,2018,1,4
69,If Beale Street Could Talk,2018,1,3
70,Bao,2018,1,1
71,Free Solo,2018,1,1
72,Period. End of Sentence.,2018,1,1
73,Skin,2018,1,1
74,Spider-Man: Into the Spider-Verse,2018,1,1
75,The Shape of Water,2017,4,13
76,Dunkirk,2017,3,8
77,"Three Billboards Outside Ebbing, Missouri",2017,2,7
78,Darkest Hour,2017,2,6
79,Blade Runner 2049,2017,2,5
80,Coco,2017,2,2
81,Phantom Thread,2017,1,6
82,Call Me by Your Name,2017,1,4
83,Get Out,2017,1,4
84,"I, Tonya",2017,1,3
85,Dear Basketball,2017,1,1
86,A Fantastic Woman,2017,1,1
87,Heaven Is a Traffic Jam on the 405,2017,1,1
88,Icarus,2017,1,1
89,The Silent Child,2017,1,1
90,Flesh and Sand,2017,1,0
91,Moonlight,2016,3,8
92,La La Land,2016,6,14
93,Hacksaw Ridge,2016,2,6
94,Manchester by the Sea,2016,2,6
95,Arrival,2016,1,8
96,Fences,2016,1,4
97,Fantastic Beasts and Where to Find Them,2016,1,2
98,The Jungle Book,2016,1,1
99,O.J.: Made in America,2016,1,1
100,Piper,2016,1,1
101,The Salesman,2016,1,1
102,Sing,2016,1,1
103,Suicide Squad,2016,1,1
104,The White Helmets,2016,1,1
105,Zootopia,2016,1,1
106,Spotlight,2015,2,6
107,Mad Max: Fury Road,2015,6,10
108,The Revenant,2015,3,12
109,Bridge of Spies,2015,1,6
110,The Big Short,2015,1,5
111,The Danish Girl,2015,1,4
112,Room,2015,1,4
113,The Hateful Eight,2015,1,3
114,Ex Machina,2015,1,2
115,Inside Out,2015,1,2
